YEAR,STATE,STATE_ABBREV,ENTIRE_STATE,LOC,LOC_TYPE,DATE_START,DATE_END,SOURCE_DOC,MONTH_DATE,FIPS
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-03-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-04-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-05-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-06-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-07-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-08-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2017-10-01,2018-09-30,2018_MN,2018-09-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2018-10-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2018-11-01,NA
2018,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2018-12-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-01-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-02-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-03-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-04-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-05-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-06-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-07-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-08-01,NA
2019,Minnesota,MN,0,Bois Forte,Reservation Area,2018-10-01,2019-09-30,2019_MN,2019-09-01,NA
2017,Minnesota,MN,0,Carlton County,County,2017-10-01,2018-09-30,2018_MN,2017-10-01,27017
